Domain,Area,Element,Item,Year,Unit,Value
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2003","1000 Int. $","8009.0136"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2004","1000 Int. $","8771.7768"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2005","1000 Int. $","9153.1584"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2006","1000 Int. $","9763.36896"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2007","1000 Int. $","9534.54"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2008","1000 Int. $","10170.176"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2009","1000 Int. $","13819.997912"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2010","1000 Int. $","15926.495616"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2011","1000 Int. $","18306.3168"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2012","1000 Int. $","21573.48584"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2013","1000 Int. $","24052.46624"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2014","1000 Int. $","22539.65256"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2015","1000 Int. $","25612.277763"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2016","1000 Int. $","24485.969992"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1961","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1962","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1963","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1964","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1965","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1966","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1967","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1968","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1969","1000 Int. $","762.7632"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1970","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1971","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1972","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1973","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1974","1000 Int. $","1017.0176"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1975","1000 Int. $","1017.0176"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1976","1000 Int. $","1080.5812"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1977","1000 Int. $","1080.5812"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1978","1000 Int. $","1144.1448"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1979","1000 Int. $","1144.1448"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1980","1000 Int. $","1017.0176"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1981","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1982","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1983","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1984","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1985","1000 Int. $","381.3816"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1986","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1987","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1988","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1989","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1990","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1991","1000 Int. $","601.718467"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1992","1000 Int. $","702.761938"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1993","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1994","1000 Int. $","2043.265816"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1995","1000 Int. $","3813.816"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1996","1000 Int. $","6483.4872"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1997","1000 Int. $","5466.4696"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1998","1000 Int. $","5720.724"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1999","1000 Int. $","5720.724"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2000","1000 Int. $","6356.36"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2001","1000 Int. $","8644.6496"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2002","1000 Int. $","7627.632"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2003","1000 Int. $","8009.0136"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2004","1000 Int. $","8771.7768"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2005","1000 Int. $","9153.1584"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2006","1000 Int. $","9763.36896"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2007","1000 Int. $","9534.54"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2008","1000 Int. $","10170.176"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2009","1000 Int. $","13819.997912"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2010","1000 Int. $","15926.495616"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2011","1000 Int. $","18306.3168"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2012","1000 Int. $","21573.48584"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2013","1000 Int. $","24052.46624"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2014","1000 Int. $","22539.65256"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2015","1000 Int. $","25612.277763"
"Value of Agricultural Production","Albania","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2016","1000 Int. $","24485.969992"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1973","1000 Int. $","381.3816"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1974","1000 Int. $","762.7632"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1975","1000 Int. $","1271.272"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1976","1000 Int. $","1906.908"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1977","1000 Int. $","2447.1986"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1978","1000 Int. $","1914.535632"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1979","1000 Int. $","1843.3444"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1980","1000 Int. $","2758.66024"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1981","1000 Int. $","3188.350176"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1982","1000 Int. $","2035.306472"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1983","1000 Int. $","3829.071264"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1984","1000 Int. $","3334.546456"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1985","1000 Int. $","3878.650872"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1986","1000 Int. $","6956.400384"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1987","1000 Int. $","4745.658376"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1988","1000 Int. $","4729.13184"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1989","1000 Int. $","5668.601848"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1990","1000 Int. $","3412.094048"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1991","1000 Int. $","3934.58684"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1992","1000 Int. $","5168.991952"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1993","1000 Int. $","6427.551232"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1994","1000 Int. $","3829.071264"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1995","1000 Int. $","6732.656512"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1996","1000 Int. $","4082.054392"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1997","1000 Int. $","4252.40484"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1998","1000 Int. $","3300.222112"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1999","1000 Int. $","4926.179"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2000","1000 Int. $","5298.661696"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2001","1000 Int. $","3813.816"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2002","1000 Int. $","5563.086272"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2003","1000 Int. $","3260.81268"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2004","1000 Int. $","4012.134432"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2005","1000 Int. $","3916.789032"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2006","1000 Int. $","6360.173816"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2007","1000 Int. $","2137.008232"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2008","1000 Int. $","5788.101416"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2009","1000 Int. $","7422.957208"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2010","1000 Int. $","6449.162856"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2011","1000 Int. $","9207.823096"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2012","1000 Int. $","10081.568342"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2013","1000 Int. $","7606.020376"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2014","1000 Int. $","11060.0664"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2015","1000 Int. $","11376.613128"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2016","1000 Int. $","8775.590616"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1973","1000 Int. $","381.3816"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1974","1000 Int. $","762.7632"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1975","1000 Int. $","1271.272"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1976","1000 Int. $","1906.908"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1977","1000 Int. $","2447.1986"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1978","1000 Int. $","1914.535632"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1979","1000 Int. $","1843.3444"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1980","1000 Int. $","2758.66024"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1981","1000 Int. $","3188.350176"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1982","1000 Int. $","2035.306472"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1983","1000 Int. $","3829.071264"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1984","1000 Int. $","3334.546456"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1985","1000 Int. $","3878.650872"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1986","1000 Int. $","6956.400384"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1987","1000 Int. $","4745.658376"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1988","1000 Int. $","4729.13184"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1989","1000 Int. $","5668.601848"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1990","1000 Int. $","3412.094048"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1991","1000 Int. $","3934.58684"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1992","1000 Int. $","5168.991952"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1993","1000 Int. $","6427.551232"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1994","1000 Int. $","3829.071264"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1995","1000 Int. $","6732.656512"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1996","1000 Int. $","4082.054392"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1997","1000 Int. $","4252.40484"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1998","1000 Int. $","3300.222112"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","1999","1000 Int. $","4926.179"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2000","1000 Int. $","5298.661696"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2001","1000 Int. $","3813.816"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2002","1000 Int. $","5563.086272"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2003","1000 Int. $","3260.81268"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2004","1000 Int. $","4012.134432"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2005","1000 Int. $","3916.789032"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2006","1000 Int. $","6360.173816"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2007","1000 Int. $","2137.008232"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2008","1000 Int. $","5788.101416"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2009","1000 Int. $","7422.957208"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2010","1000 Int. $","6449.162856"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2011","1000 Int. $","9207.823096"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2012","1000 Int. $","10081.568342"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2013","1000 Int. $","7606.020376"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2014","1000 Int. $","11060.0664"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2015","1000 Int. $","11376.613128"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Cherries","2016","1000 Int. $","8775.590616"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1967","1000 Int. $","1.357279"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1968","1000 Int. $","1.357279"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1969","1000 Int. $","4.071837"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1970","1000 Int. $","4.071837"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1971","1000 Int. $","6.786395"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1972","1000 Int. $","6.786395"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1973","1000 Int. $","6.786395"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1974","1000 Int. $","2.714558"
"Value of Agricultural Production","Algeria","Gross Production Value (constant 2004-2006 1000 I$)","Strawberries","1975","1000 Int. $","2.714558"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1967","1000 Int. $","1.357279"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1968","1000 Int. $","1.357279"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1969","1000 Int. $","4.071837"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1970","1000 Int. $","4.071837"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1971","1000 Int. $","6.786395"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1972","1000 Int. $","6.786395"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1973","1000 Int. $","6.786395"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1974","1000 Int. $","2.714558"
"Value of Agricultural Production","Algeria","Net Production Value (constant 2004-2006 1000 I$)","Strawberries","1975","1000 Int. $","2.714558"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1961","1000 Int. $","3305.3072"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1962","1000 Int. $","2923.9256"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1963","1000 Int. $","2987.4892"
"Value of Agricultural Production","Argentina","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1964","1000 Int. $","2377.27864"
